"V1","V2"
"RPL6","Nucleus"
"MAPKAPK5","Nucleus"
"ESF1","Nucleus"
"TRMT6","Nucleus"
"GMIP","Nucleus"
"MLF2","Nucleus"
"OTUB2","Nucleus"
"TFAP4","Nucleus"
"PDCD7","Nucleus"
"SPG21","Nucleus"
"GOLGA3","Nucleus"
"DLL3","Nucleus"
"NAT14","Nucleus"
"AASDH","Nucleus"
"LAMB4","Nucleus"
"DLD","Nucleus"
"MYO15A","Nucleus"
"SPAG7","Nucleus"
"ESR1","Nucleus"
"RGS17","Nucleus"
"HAUS4","Nucleus"
"CEBPE","Nucleus"
"OSGEP","Nucleus"
"G2E3","Nucleus"
"TGM1","Nucleus"
"TBX15","Nucleus"
"MYL6B","Nucleus"
"TEKT2","Nucleus"
"UNC13D","Nucleus"
"XYLB","Nucleus"
"ADH1A","Nucleus"
"KRT23","Nucleus"
"CDC6","Nucleus"
"AAAS","Nucleus"
"CBX5","Nucleus"
"KLHL20","Nucleus"
"DHPS","Nucleus"
"NANS","Nucleus"
"MAPK13","Nucleus"
"ZNF184","Nucleus"
"SIRT1","Nucleus"
"MZF1","Nucleus"
"OCEL1","Nucleus"
"PSMD8","Nucleus"
"STX1B","Nucleus"
"BCL7C","Nucleus"
"ATP5D","Nucleus"
"C19orf26","Nucleus"
"NDUFB7","Nucleus"
"CDC34","Nucleus"
"C19orf21","Nucleus"
"POLR2E","Nucleus"
"POLRMT","Nucleus"
"GADD45B","Nucleus"
"MAPK12","Nucleus"
"SNAP29","Nucleus"
"LZTR1","Nucleus"
"THAP7","Nucleus"
"B5MC82_HUMAN","Nucleus"
"SF3A1","Nucleus"
"USP18","Nucleus"
"SEC14L3","Nucleus"
"SNRPD3","Nucleus"
"MAPK1","Nucleus"
"CRYBB3","Nucleus"
"MORC2","Nucleus"
"LGALS2","Nucleus"
"PDXP","Nucleus"
"ASPHD2","Nucleus"
"LGALS1","Nucleus"
"SRRD","Nucleus"
"CRYBB1","Nucleus"
"ANKRD54","Nucleus"
"NHP2L1","Nucleus"
"MICALL1","Nucleus"
"CENPM","Nucleus"
"DMC1","Nucleus"
"HSCB","Nucleus"
"CBY1","Nucleus"
"TOMM22","Nucleus"
"RTDR1","Nucleus"
"XBP1","Nucleus"
"C22orf28","Nucleus"
"JOSD1","Nucleus"
"GTPBP1","Nucleus"
"DNAL4","Nucleus"
"C22orf31","Nucleus"
"MIOX","Nucleus"
"RHBDD3","Nucleus"
"APOBEC3D","Nucleus"
"RASL10A","Nucleus"
"HMGXB4","Nucleus"
"BIK","Nucleus"
"HMOX1","Nucleus"
"MCM5","Nucleus"
"TTLL12","Nucleus"
"CBX7","Nucleus"
"TAB1","Nucleus"
"PNPLA5","Nucleus"
"PNPLA3","Nucleus"
"MYH9","Nucleus"
"FOXRED2","Nucleus"
"EIF3D","Nucleus"
"ADSL","Nucleus"
"PVALB","Nucleus"
"FAM118A","Nucleus"
"RBX1","Nucleus"
"L3MBTL2","Nucleus"
"PHF5A","Nucleus"
"PMM1","Nucleus"
"CERK","Nucleus"
"BRD1","Nucleus"
"ZBED4","Nucleus"
"HDAC10","Nucleus"
"RIPK3","Nucleus"
"PAPOLA","Nucleus"
"SNAPC1","Nucleus"
"SUPT16H","Nucleus"
"FKBP3","Nucleus"
"AP4S1","Nucleus"
"SOS2","Nucleus"
"PYGL","Nucleus"
"GNPNAT1","Nucleus"
"ATP6V1D","Nucleus"
"C14orf105","Nucleus"
"PLEK2","Nucleus"
"PSMA3","Nucleus"
"GSTZ1","Nucleus"
"TMED8","Nucleus"
"SAMD15","Nucleus"
"AHSA1","Nucleus"
"SPTLC2","Nucleus"
"RIN3","Nucleus"
"ALKBH1","Nucleus"
"SIX4","Nucleus"
"EIF5","Nucleus"
"ZFYVE21","Nucleus"
"VRK1","Nucleus"
"APEX1","Nucleus"
"PABPN1","Nucleus"
"EFS","Nucleus"
"CPNE6","Nucleus"
"PCK2","Nucleus"
"NFKBIA","Nucleus"
"EMC9","Nucleus"
"PSME2","Nucleus"
"BRMS1L","Nucleus"
"PNN","Nucleus"
"RABGGTA","Nucleus"
"AURKA","Nucleus"
"ZFP64","Nucleus"
"GSS","Nucleus"
"PYGB","Nucleus"
"MYBL2","Nucleus"
"R3HDML","Nucleus"
"PABPC1L","Nucleus"
"SALL4","Nucleus"
"CSTF1","Nucleus"
"TPD52L2","Nucleus"
"ZNF512B","Nucleus"
"TUBB1","Nucleus"
"UBOX5","Nucleus"
"PTK6","Nucleus"
"SRMS","Nucleus"
"TRIB3","Nucleus"
"CSNK2A1","Nucleus"
"MACROD2","Nucleus"
"FERMT1","Nucleus"
"XKR7","Nucleus"
"C20orf118","Nucleus"
"SNTA1","Nucleus"
"CHMP4B","Nucleus"
"FAM83D","Nucleus"
"ACOT8","Nucleus"
"APMAP","Nucleus"
"TXNL1","Nucleus"
"MYL12A","Nucleus"
"RNF125","Nucleus"
"TAF9","Nucleus"
"IDH3G","Nucleus"
"MXRA5","Nucleus"
"PSMD10","Nucleus"
"TBL1X","Nucleus"
"PGRMC1","Nucleus"
"RHOXF1","Nucleus"
"NXT2","Nucleus"
"ATP1B4","Nucleus"
"WDR13","Nucleus"
"PAGE4","Nucleus"
"STAG2","Nucleus"
"BCORL1","Nucleus"
"PQBP1","Nucleus"
"RAB40AL","Nucleus"
"RP2","Nucleus"
"PHF16","Nucleus"
"USP11","Nucleus"
"HTATSF1","Nucleus"
"MAGED2","Nucleus"
"FAM48A","Nucleus"
"ACSM2A","Nucleus"
"NTHL1","Nucleus"
"ZNF263","Nucleus"
"ZNF205","Nucleus"
"ORC6","Nucleus"
"C16orf70","Nucleus"
"CORO1A","Nucleus"
"MT4","Nucleus"
"LYRM1","Nucleus"
"NUTF2","Nucleus"
"CENPT","Nucleus"
"CBLN1","Nucleus"
"ARL2BP","Nucleus"
"POLR2C","Nucleus"
"PARD6A","Nucleus"
"USB1","Nucleus"
"CCDC113","Nucleus"
"PSMD7","Nucleus"
"SETD6","Nucleus"
"SMPD3","Nucleus"
"FA2H","Nucleus"
"CMC2","Nucleus"
"ARHGDIG","Nucleus"
"MPG","Nucleus"
"HSDL1","Nucleus"
"USP10","Nucleus"
"ZNF500","Nucleus"
"STUB1","Nucleus"
"RHBDL1","Nucleus"
"ZP2","Nucleus"
"MEFV","Nucleus"
"CRYM","Nucleus"
"SOLH","Nucleus"
"USP31","Nucleus"
"HMOX2","Nucleus"
"TOX3","Nucleus"
"MAZ","Nucleus"
"C16orf88","Nucleus"
"MGA","Nucleus"
"CSK","Nucleus"
"MTFMT","Nucleus"
"RASL12","Nucleus"
"KIAA1199","Nucleus"
"EHD4","Nucleus"
"TGM5","Nucleus"
"GABPB1","Nucleus"
"SCG3","Nucleus"
"DNAJC17","Nucleus"
"RHOV","Nucleus"
"VPS18","Nucleus"
"OIP5","Nucleus"
"BLOC1S6","Nucleus"
"FDFT1","Nucleus"
"EIF2C2","Nucleus"
"PAG1","Nucleus"
"BRF2","Nucleus"
"ZFAND1","Nucleus"
"RP1","Nucleus"
"RIPK2","Nucleus"
"GDAP1","Nucleus"
"EIF3E","Nucleus"
"EMC2","Nucleus"
"CHRAC1","Nucleus"
"NCALD","Nucleus"
"PYCRL","Nucleus"
"MTMR9","Nucleus"
"DCTN6","Nucleus"
"PPP2CB","Nucleus"
"NEFM","Nucleus"
"KCTD9","Nucleus"
"CNOT3","Nucleus"
"EXOSC5","Nucleus"
"PAF1","Nucleus"
"STXBP2","Nucleus"
"ZNF180","Nucleus"
"FCGBP","Nucleus"
"TULP2","Nucleus"
"HNRNPL","Nucleus"
"KCNA7","Nucleus"
"RELB","Nucleus"
"CLASRP","Nucleus"
"PPP1R37","Nucleus"
"CKM","Nucleus"
"PEX11G","Nucleus"
"RNASEH2A","Nucleus"
"SF3A2","Nucleus"
"TBC1D17","Nucleus"
"CCDC130","Nucleus"
"AES","Nucleus"
"SGTA","Nucleus"
"SNAPC2","Nucleus"
"FIZ1","Nucleus"
"C19orf44","Nucleus"
"CASP14","Nucleus"
"LGALS13","Nucleus"
"FBL","Nucleus"
"CLC","Nucleus"
"TBCB","Nucleus"
"FSD1","Nucleus"
"POLR2I","Nucleus"
"CCDC9","Nucleus"
"PLIN3","Nucleus"
"CRX","Nucleus"
"SULT2A1","Nucleus"
"CDC37","Nucleus"
"CNFN","Nucleus"
"RAB3D","Nucleus"
"DBP","Nucleus"
"CAPS","Nucleus"
"RASIP1","Nucleus"
"FGF21","Nucleus"
"LENG1","Nucleus"
"RPL18A","Nucleus"
"PIK3R2","Nucleus"
"MLL4_HUMAN","Nucleus"
"COMP","Nucleus"
"GAPDHS","Nucleus"
"USF2","Nucleus"
"KXD1","Nucleus"
"FKBP8","Nucleus"
"ERF","Nucleus"
"GSK3A","Nucleus"
"CADM4","Nucleus"
"ABCF2","Nucleus"
"UBE2D4","Nucleus"
"GTPBP10","Nucleus"
"NAMPT","Nucleus"
"TWISTNB","Nucleus"
"HBP1","Nucleus"
"SP4","Nucleus"
"DLX5","Nucleus"
"MPP6","Nucleus"
"OGDH","Nucleus"
"HOXA2","Nucleus"
"HOXA5","Nucleus"
"HOXA6","Nucleus"
"HOXA13","Nucleus"
"CHN2","Nucleus"
"ABHD11","Nucleus"
"NOD1","Nucleus"
"PDAP1","Nucleus"
"BUD31","Nucleus"
"SNX8","Nucleus"
"WASL","Nucleus"
"AIMP2","Nucleus"
"TFR2","Nucleus"
"PCOLCE","Nucleus"
"RBM28","Nucleus"
"PLOD3","Nucleus"
"RPA3","Nucleus"
"FIS1","Nucleus"
"GLCCI1","Nucleus"
"MYL10","Nucleus"
"NRF1","Nucleus"
"CEP41","Nucleus"
"ZNF862","Nucleus"
"YAE1D1","Nucleus"
"GIMAP2","Nucleus"
"PSMA2","Nucleus"
"MYL7","Nucleus"
"GCK","Nucleus"
"BCL7B","Nucleus"
"YKT6","Nucleus"
"CLIP2","Nucleus"
"ZNF510","Nucleus"
"ZNF688","Nucleus"
"CHMP5","Nucleus"
"SEC61B","Nucleus"
"PLGRKT","Nucleus"
"EDF1","Nucleus"
"SETX","Nucleus"
"C8G","Nucleus"
"VIM","Nucleus"
"BLNK","Nucleus"
"ATE1","Nucleus"
"FAM190B","Nucleus"
"SFXN3","Nucleus"
"FBXL15","Nucleus"
"OBFC1","Nucleus"
"DNAJC12","Nucleus"
"TBC1D12","Nucleus"
"DHX33","Nucleus"
"UTP18","Nucleus"
"P2RX5","Nucleus"
"CRYBA1","Nucleus"
"NUFIP2","Nucleus"
"TADA2A","Nucleus"
"AATF","Nucleus"
"ZNHIT3","Nucleus"
"PSMB3","Nucleus"
"CWC25","Nucleus"
"CSF3","Nucleus"
"SUPT4H1","Nucleus"
"SHPK","Nucleus"
"TAX1BP3","Nucleus"
"KRT37","Nucleus"
"GOSR2","Nucleus"
"PNPO","Nucleus"
"RPS6KB1","Nucleus"
"CBX1","Nucleus"
"GALK1","Nucleus"
"HOXB6","Nucleus"
"SLC25A11","Nucleus"
"RASD1","Nucleus"
"GOSR1","Nucleus"
"CCDC47","Nucleus"
"MED31","Nucleus"
"DRG2","Nucleus"
"AKAP10","Nucleus"
"ALDH3A1","Nucleus"
"DDX5","Nucleus"
"C17orf75","Nucleus"
"PEX12","Nucleus"
"HNF1B","Nucleus"
"KRT32","Nucleus"
"KAT2A","Nucleus"
"ABI3","Nucleus"
"HDAC5","Nucleus"
"DUSP3","Nucleus"
"HLF","Nucleus"
"RANGRF","Nucleus"
"RCVRN","Nucleus"
"MYH1","Nucleus"
"MYH3","Nucleus"
"TNFAIP1","Nucleus"
"TMEM97","Nucleus"
"FOXN1","Nucleus"
"ALDOC","Nucleus"
"CD38","Nucleus"
"PHF17","Nucleus"
"PHOX2B","Nucleus"
"SULT1E1","Nucleus"
"NFKB1","Nucleus"
"GAR1","Nucleus"
"FRG1","Nucleus"
"CLNK","Nucleus"
"FAM149A","Nucleus"
"SPA17","Nucleus"
"SPI1","Nucleus"
"CRYAB","Nucleus"
"DBX1","Nucleus"
"ZNF259","Nucleus"
"CRTAM","Nucleus"
"C11orf63","Nucleus"
"HSPA8","Nucleus"
"DTX4","Nucleus"
"PUS3","Nucleus"
"CCND1","Nucleus"
"CCDC86","Nucleus"
"PRPF19","Nucleus"
"ANAPC15","Nucleus"
"BIRC2","Nucleus"
"C11orf58","Nucleus"
"CSDA","Nucleus"
"SART3","Nucleus"
"ZNF268","Nucleus"
"PXN","Nucleus"
"SLC25A3","Nucleus"
"POLR3B","Nucleus"
"CD69","Nucleus"
"PRDM4","Nucleus"
"KCTD10","Nucleus"
"MVK","Nucleus"
"CSRNP2","Nucleus"
"CYP27B1","Nucleus"
"MYF6","Nucleus"
"MYF5","Nucleus"
"GLI1","Nucleus"
"LTA4H","Nucleus"
"ELK3","Nucleus"
"ITFG2","Nucleus"
"PARP11","Nucleus"
"ARPC3","Nucleus"
"MYL2","Nucleus"
"RAD51AP1","Nucleus"
"AKAP3","Nucleus"
"DUSP16","Nucleus"
"CREBL2","Nucleus"
"CDKN1B","Nucleus"
"OAS3","Nucleus"
"ARHGDIB","Nucleus"
"NUP107","Nucleus"
"CNOT2","Nucleus"
"KRR1","Nucleus"
"COPS7A","Nucleus"
"GNB3","Nucleus"
"USP5","Nucleus"
"TPI1","Nucleus"
"ENO2","Nucleus"
"C12orf57","Nucleus"
"APOBEC1","Nucleus"
"NANOG","Nucleus"
"PRKAB1","Nucleus"
"CMAS","Nucleus"
"HCFC2","Nucleus"
"AICDA","Nucleus"
"RAB35","Nucleus"
"SRSF9","Nucleus"
"FGFR1OP2","Nucleus"
"GCLC","Nucleus"
"TMEM14C","Nucleus"
"C6orf162","Nucleus"
"ASF1A","Nucleus"
"HINT3","Nucleus"
"FBXO5","Nucleus"
"FANCE","Nucleus"
"TULP1","Nucleus"
"MAPK14","Nucleus"
"STK38","Nucleus"
"MCM3","Nucleus"
"SAYSD1","Nucleus"
"CAP2","Nucleus"
"FBXL4","Nucleus"
"HDGFL1","Nucleus"
"GPLD1","Nucleus"
"ACOT13","Nucleus"
"GMNN","Nucleus"
"SNX3","Nucleus"
"TRIM38","Nucleus"
"ZBTB24","Nucleus"
"FIG4","Nucleus"
"C6orf118","Nucleus"
"MDFI","Nucleus"
"TFEB","Nucleus"
"BYSL","Nucleus"
"TBP","Nucleus"
"GUCA1B","Nucleus"
"C6orf108","Nucleus"
"SKIV2L2","Nucleus"
"ISL1","Nucleus"
"POU4F3","Nucleus"
"NUDT12","Nucleus"
"PAPD7","Nucleus"
"GHR","Nucleus"
"DAP","Nucleus"
"HAND1","Nucleus"
"THG1L","Nucleus"
"TTC1","Nucleus"
"IRX4","Nucleus"
"LNPEP","Nucleus"
"ST8SIA4","Nucleus"
"SKP1","Nucleus"
"NUP155","Nucleus"
"NR3C1","Nucleus"
"TRIM23","Nucleus"
"RARS","Nucleus"
"CDX1","Nucleus"
"BNIP1","Nucleus"
"ZMYND10","Nucleus"
"MLH1","Nucleus"
"EHHADH","Nucleus"
"CRBN","Nucleus"
"BCL6","Nucleus"
"RBP2","Nucleus"
"RBP1","Nucleus"
"PFKFB4","Nucleus"
"HES1","Nucleus"
"ECT2","Nucleus"
"TUSC2","Nucleus"
"NPRL2","Nucleus"
"C3orf14","Nucleus"
"GNB4","Nucleus"
"MORC1","Nucleus"
"UMPS","Nucleus"
"ABTB1","Nucleus"
"KLHL18","Nucleus"
"HEMK1","Nucleus"
"RRP9","Nucleus"
"EIF1B","Nucleus"
"ZBTB47","Nucleus"
"TNNC1","Nucleus"
"NKTR","Nucleus"
"NEK4","Nucleus"
"WDFY1","Nucleus"
"EIF2AK2","Nucleus"
"DAZAP1","Nucleus"
"DDX1","Nucleus"
"MAPRE3","Nucleus"
"MSH2","Nucleus"
"NCK2","Nucleus"
"TTL","Nucleus"
"P14","Nucleus"
"MPV17","Nucleus"
"NRBP1","Nucleus"
"SNX17","Nucleus"
"REEP6","Nucleus"
"APC2","Nucleus"
"MOGS","Nucleus"
"TTC31","Nucleus"
"NDUFS7","Nucleus"
"PCGF1","Nucleus"
"TLX2","Nucleus"
"DOK1","Nucleus"
"ACADL","Nucleus"
"LANCL1","Nucleus"
"GGCX","Nucleus"
"NEU2","Nucleus"
"PPP1R7","Nucleus"
"PASK","Nucleus"
"PROC","Nucleus"
"ID2","Nucleus"
"ODC1","Nucleus"
"GORASP2","Nucleus"
"CEBPZ","Nucleus"
"PRKD3","Nucleus"
"FAM82A1","Nucleus"
"DLX2","Nucleus"
"ORC2","Nucleus"
"COX7A2L","Nucleus"
"PLEK","Nucleus"
"VAX2","Nucleus"
"MSH6","Nucleus"
"PLEKHA3","Nucleus"
"ENO1","Nucleus"
"CDC7","Nucleus"
"SARS","Nucleus"
"BCL9","Nucleus"
"TCEANC2","Nucleus"
"WDR77","Nucleus"
"DLGAP3","Nucleus"
"C1orf21","Nucleus"
"MAD2L2","Nucleus"
"MFN2","Nucleus"
"MIIP","Nucleus"
"PRAMEF10","Nucleus"
"PRDM2","Nucleus"
"RGS2","Nucleus"
"OSCP1","Nucleus"
"NT5C1A","Nucleus"
"AKR7A2","Nucleus"
"RAB7L1","Nucleus"
"VAMP4","Nucleus"
"SYF2","Nucleus"
"MMP8","Nucleus"
"EEF1B2","Nucleus"
"ATIC","Nucleus"
"TNP1","Nucleus"
"FILIP1","Nucleus"
"TBPL1","Nucleus"
"ZC2HC1B","Nucleus"
"FBXO30","Nucleus"
"ADAT2","Nucleus"
"TNFAIP3","Nucleus"
"TCF21","Nucleus"
"PMFBP1","Nucleus"
"MED28","Nucleus"
"DNAH6","Nucleus"
"MYL12B","Nucleus"
"SOGA1","Nucleus"
"CCNI","Nucleus"
"C2orf43","Nucleus"
"ELL2","Nucleus"
"GLRX","Nucleus"
"NDUFB3","Nucleus"
"ZFAND5","Nucleus"
"GDA","Nucleus"
"YWHAQ","Nucleus"
"CPSF3","Nucleus"
"DDX55","Nucleus"
"CCDC92","Nucleus"
"FKBP15","Nucleus"
"CNTRL","Nucleus"
"HDHD3","Nucleus"
"VPS4B","Nucleus"
"SERPINB10","Nucleus"
"GSC","Nucleus"
"ADCK1","Nucleus"
"NEK9","Nucleus"
"ACYP1","Nucleus"
"IFT43","Nucleus"
"IRF2BPL","Nucleus"
"ACOT2","Nucleus"
"PAPOLG","Nucleus"
"TP53I3","Nucleus"
"RHOQ","Nucleus"
"TMEM214","Nucleus"
"ATAD2B","Nucleus"
"FAM98A","Nucleus"
"AFTPH","Nucleus"
"CRIPT","Nucleus"
"PPP1R3C","Nucleus"
"HELLS","Nucleus"
"C10orf95","Nucleus"
"HOXB8","Nucleus"
"HOXB5","Nucleus"
"HOXB7","Nucleus"
"DUSP1","Nucleus"
"PANK3","Nucleus"
"MSX2","Nucleus"
"CCDC170","Nucleus"
"ARAP3","Nucleus"
"SLC25A2","Nucleus"
"PRRX1","Nucleus"
"TTLL2","Nucleus"
"MSANTD2","Nucleus"
"PDZD11","Nucleus"
"NUDCD1","Nucleus"
"CCDC77","Nucleus"
"UFM1","Nucleus"
"ELF1","Nucleus"
"FAM53C","Nucleus"
"MYOT","Nucleus"
"EGR1","Nucleus"
"SERP1","Nucleus"
"MTERFD3","Nucleus"
"NFYB","Nucleus"
"CCDC53","Nucleus"
"DUSP4","Nucleus"
"SORBS3","Nucleus"
"PPP3CC","Nucleus"
"TARDBP","Nucleus"
"PRAMEF2","Nucleus"
"LUC7L3","Nucleus"
"DLX4","Nucleus"
"COIL","Nucleus"
"SPOP","Nucleus"
"TBX2","Nucleus"
"TBX4","Nucleus"
"DYNLL2","Nucleus"
"TEX14","Nucleus"
"FAM117A","Nucleus"
"NCAPH","Nucleus"
"MND1","Nucleus"
"ZNF141","Nucleus"
"TSHZ3","Nucleus"
"PYROXD1","Nucleus"
"ZNF211","Nucleus"
"TFG","Nucleus"
"KALRN","Nucleus"
"NAA50","Nucleus"
"MAPK8IP1","Nucleus"
"PEX16","Nucleus"
"DEPDC7","Nucleus"
"CAT","Nucleus"
"CSMD2","Nucleus"
"GSTM2","Nucleus"
"POLK","Nucleus"
"RASL11A","Nucleus"
"FYTTD1","Nucleus"
"MTERFD2","Nucleus"
"MYOG","Nucleus"
"PRM2","Nucleus"
"AHR","Nucleus"
"BBS9","Nucleus"
"OCM","Nucleus"
"EEPD1","Nucleus"
"HOXA7","Nucleus"
"INHBA","Nucleus"
"POLM","Nucleus"
"FTSJ2","Nucleus"
"TWIST1","Nucleus"
"SLC25A51","Nucleus"
"KIAA1045","Nucleus"
"DNAI1","Nucleus"
"ZC3HAV1","Nucleus"
"AKR1D1","Nucleus"
"NEUROG3","Nucleus"
"EGR2","Nucleus"
"FAM149B1","Nucleus"
"UNG","Nucleus"
"DYNLL1","Nucleus"
"IFT81","Nucleus"
"BHLHE41","Nucleus"
"DDX39A","Nucleus"
"C19orf43","Nucleus"
"WDR83","Nucleus"
"ZNF442","Nucleus"
"KLHL24","Nucleus"
"CCDC70","Nucleus"
"CENPK","Nucleus"
"NEUROD4","Nucleus"
"HOXC13","Nucleus"
"HOXC12","Nucleus"
"HOXC6","Nucleus"
"C1orf63","Nucleus"
"TCEAL3","Nucleus"
"RIF1","Nucleus"
"NMI","Nucleus"
"ACVR1C","Nucleus"
"BATF3","Nucleus"
"SNRPA","Nucleus"
"ZNF415","Nucleus"
"HAUS3","Nucleus"
"ENKD1","Nucleus"
"ACTR5","Nucleus"
"CTCFL","Nucleus"
"ATP5E","Nucleus"
"PLCG1","Nucleus"
"SRSF6","Nucleus"
"RAB22A","Nucleus"
"SNAI1","Nucleus"
"MAGEA10","Nucleus"
"PEPD","Nucleus"
"PAIP2B","Nucleus"
"SNRNP27","Nucleus"
"MPHOSPH10","Nucleus"
"LIPE","Nucleus"
"IRGC","Nucleus"
"RNF39","Nucleus"
"DST","Nucleus"
"FBXO9","Nucleus"
"PACSIN1","Nucleus"
"RRP36","Nucleus"
"SNRPC","Nucleus"
"HIST1H1D","Nucleus"
"HIST1H4G","Nucleus"
"HIST1H1A","Nucleus"
"ZNF391","Nucleus"
"TBCC","Nucleus"
"APOBEC2","Nucleus"
"TREM1","Nucleus"
"MEA1","Nucleus"
"CDKN1A","Nucleus"
"SOX4","Nucleus"
"CPNE5","Nucleus"
"ATXN1","Nucleus"
"SH3TC1","Nucleus"
"KATNAL2","Nucleus"
"BBS2","Nucleus"
"MT2A","Nucleus"
"SPHK2","Nucleus"
"PIWIL1","Nucleus"
"RAP2A","Nucleus"
"EFNB2","Nucleus"
"IRF1","Nucleus"
"SOX9","Nucleus"
"MYH2","Nucleus"
"MRPS7","Nucleus"
"GGA3","Nucleus"
"ARMC7","Nucleus"
"NUP85","Nucleus"
"MIF4GD","Nucleus"
"NT5C","Nucleus"
"MSTO1","Nucleus"
"ZBTB46","Nucleus"
"PSD4","Nucleus"
"PSPN","Nucleus"
"ALKBH7","Nucleus"
"THOC2","Nucleus"
"SH2D3A","Nucleus"
"FOSB","Nucleus"
"VASP","Nucleus"
"SYMPK","Nucleus"
"C20orf26","Nucleus"
"CDC25B","Nucleus"
"FAM182A","Nucleus"
"AP5S1","Nucleus"
"MKKS","Nucleus"
"DSTN","Nucleus"
"SNRPB2","Nucleus"
"TCF15","Nucleus"
